id,question,label
0,It is the sum of the terms of a sequence.,series_and_sequence
1,"Find the sum of the first ten terms of the arithmetic sequence 4,10,16",series_and_sequence
2,"Find the sum of the first 25 terms of the arithmetic sequence 17, 22, 27,32, …",series_and_sequence
3,The sum of the first 10 terms of an arithmetic sequence is 530. What is the first term if the last term is 80 and the common difference is 2.,series_and_sequence
4,The third term of an arithmetic sequence is −12 and the seventh term is 8. What is the sum of the first 10 terms?,series_and_sequence
5,Find the sum of the first 50 terms of the arithmetic sequence if the first term is 21 and the twentieth term is 154.,series_and_sequence
6,Find the sum of the first eighteen terms of the arithmetic sequence whose nth term is ,series_and_sequence
7,"The first term of an arithmetic sequence is 5, the last term is 45 and the sum is 275. Find the number of terms.",series_and_sequence
8,"If the first n terms of the arithmetic sequence 20, 18, 16, are added, how many of these terms will be added to get a sum of -100?",series_and_sequence
9,"A yaya receives a starting annual salary of Php 36,000.00 with a yearly increase of Php 3,000.00. What is her total income for 8 years?",series_and_sequence
10,"Jane was saving for a pair of shoes. From her weekly allowance, she was able to save Php 10.00 on the first  week,  Php  13.00  on the  second, Php 16.00 on the third week, and so on. If she continued saving in this pattern and made 52 deposits, how much did Jane save?",series_and_sequence
11,"Mary gets a starting monthly salary of Php 6,000.00 and an increase of Php 600.00 annually. How much income did she receive for the first three years?",series_and_sequence
12,"Mirasol saved Php10.00 on the first day of January, Php12.00 on the second day, Php14.00 on the third day, and so on, up to the last day of the month. How much did Mirasol save at the end of January?",series_and_sequence
13,"Mrs. De la Cruz started her business with an income of Php 125,000.00 for the first year and an increase of Php 5,000.00 yearly. How much is the total income of Mrs. De la Cruz for 8 years since she started her business?",series_and_sequence
14,"A hall has 30 rows. Each successive row contains one additional seat. If the first row has 25 seats, how many seats are in the hall?",series_and_sequence
15,Find the sum of the first 20 natural numbers.,series_and_sequence
16,"Find the sum of all the terms of the sequence: 5, 10, 15, 20, …, 50.",series_and_sequence
17,"Find the sum −5, −2 , 1, 4,…, 31",series_and_sequence
18,"Find the sum of the first 16 terms of the arithmetic sequence: 8, 11, 14, 17, 20, …",series_and_sequence
19,"If the first n terms of the sequence: 9, 12, 15, 18, … are added, how many terms give a sum of 126?",series_and_sequence
20,"Find the sum of the integers between 1 and 70, and are divisible by 3.",series_and_sequence
21,"The sum of the first 15 terms of an arithmetic sequence is 765. If the first term is 23, what is the common difference?",series_and_sequence
22,Find the sum of: The first 9 terms of 5 + 8 + 11 + …,series_and_sequence
23,Find the sum of: The first 30 terms of 1 + 3 + 5 + …,series_and_sequence
24,Find the sum of: The first 14 terms of 6 + 9 + 12 + …,series_and_sequence
25,Find the sum of: The first 25 terms of 5 + 8 + 11 + …,series_and_sequence
26,Find the sum of: The first 15 terms of -12 + (-6) + 0 + …,series_and_sequence
27," $S_n = -80$ $a_1 = 10$ $a_n = -26$ ,n = ?",series_and_sequence
28," $S_n  = 50$ $a_1 = 4$ $a_n = 16$ ,n = ?",series_and_sequence
29," $S_n = -15$ $a_1 = 12$ , d = -3, n =  ?",series_and_sequence
30," $S_n = 180$ $a_1 = 5$ ,d = 5,n = ?",series_and_sequence
31,"Find the sum of the first 13 terms of the sequence: −3, −1, 1, 3, …",series_and_sequence
32,"Find the sum of the first 15 terms of the arithmetic sequence: 10, 15, 20, 25, … ?",series_and_sequence
33,"Find the sum of the first 11 terms of the arithmetic sequence: −4, 3, 10, 17, … ?",series_and_sequence
34,"Find the sum of the first 19 terms of the arithmetic sequence: 9, 14, 19, 24, … ?",series_and_sequence
35,Find the sum of the integers from 8 and 35,series_and_sequence
36,Find the sum of all even integers from 10 to 70.,series_and_sequence
37,Find the sum of all odd integers from 1 to 50.,series_and_sequence
38,Find the sum of the integers from 20 to 130 and are divisible by 5.,series_and_sequence
39,"If the sum of the first 8 terms of an arithmetic sequence is 172 and its common difference is 3, what is the first term?",series_and_sequence
40,"If the sum of the first 9 terms of an arithmetic sequence is 216 and its first term is 4, what is the common difference?",series_and_sequence
41,Suppose a cinema has 42 rows of seats and there are 20 seats in the first row. Each row after the first row has two more seats that the row that it precedes. How many seats are in the cinema?,series_and_sequence
42,"A 25-layer of logs is being piled to be used on a construction. The uppermost layer is composed of 25 logs, the second upper layer contains 27 logs, and the third upper layer contains 29 logs, and so on. If the pattern continues up to the lowest layer, what is the total number of logs piled for construction?",series_and_sequence
43,Which of the following is a formula for arithmetic series? ,series_and_sequence
44,"Find the sum of the first 12 terms of the arithmetic sequence 4, 11, 18, …",series_and_sequence
45,"Find the sum of the first 15 terms of the arithmetic sequence 17, 12, 7, 2, …",series_and_sequence
46,The sum of the first 12 terms of an arithmetic sequence is 606. What is the first term if the last term is 67 and the common difference is 3.,series_and_sequence
47,The second term of an arithmetic sequence is −16 and the eighth term is 8. What is the sum of the first 10 terms?,series_and_sequence
48,Find the sum of the first 40 terms of the arithmetic sequence if the first term is 16 and the tenth term is 70.,series_and_sequence
49,Find the sum of the first 15th terms of the arithmetic sequence whose nth term is $a_n = 5 + 3n$.,series_and_sequence
50,"The first term of an arithmetic sequence is 8, the last term is 56 and the sum is 416. Find the number of terms.",series_and_sequence
51,"If the first n terms of the arithmetic sequence 24, 20, 16, are added, how many of these terms will be added to get a sum of −60?",series_and_sequence
52,"A yaya receives a starting annual salary of Php 60,000.00 with a yearly increase of Php 3,600.00. What is her total income for 5 years?",series_and_sequence
53,"Jane was saving for a pair of shoes. From her weekly allowance, she was able to save Php  5.00  on  the  first  week,  Php  9.00  on  the  second, Php 13.00 on the third week, and so on. If she continued saving in this pattern and made 43 deposits, how much did Jane save?",series_and_sequence
54,"Mary gets a starting monthly salary of Php 8,000.00 and an increase of Php 800.00 annually. How much income did she receive for the first four years?",series_and_sequence
55,"Mirasol saved Php 8.00 on the first day of January, Php 11.00 on the second day, Php 14.00 on the third day, and so on, up to the last day of the month. How much did Mirasol save at the end of January?",series_and_sequence
56,"Mrs. De la Cruz started her business with an income of Php 250,000.00 for the first year and an increase of Php 6,000.00 yearly. How much is the total income of Mrs. De la Cruz for 6 years since she started her business?",series_and_sequence
57,"A hall has 35 rows. Each successive row contains two additional seats. If the first row has 20 seats, how many seats are in the hall?",series_and_sequence
58,Which of the following does not show a sequence?,series_and_sequence
59,Which of the following is a finite sequence?,series_and_sequence
60,"What is the 9th term in the sequence −1,4,−9,16,−25,..?",series_and_sequence
61,Find the first four terms of the sequence  $a_n = 5n-1$ ,series_and_sequence
62,What is the 20th term of the sequence  $a_n+\frac{(-1)^n}{n^2}$ ?,series_and_sequence
63,"What rule will correctly describe the sequence 2,5,10,17,26,37,\ldots?",series_and_sequence
64,"Find the nth term of the sequence  $-\frac{1}{2}$ $\frac{1}{4}$ $-\frac{1}{6}$ $\frac{1}{8}$ $-\frac{1}{10}$ ,",series_and_sequence
65,"What are the next four terms of the sequence 2,3,5,8, ?",series_and_sequence
66,"Consider the figures below, what is the nth term of the sequence?",series_and_sequence
67,"Which numerical pattern follows the rule “subtract 2, then multiply by 3”,when starting with 5?",series_and_sequence
68,"Which is the next ordered pair in the pattern  (1,6) , (3,18) , (5,30) ",series_and_sequence
69,"In the sequence,  $a_n = \frac{(-1)^{n+1}(n-1)(n+2)}{n}$ , what is  $a_5$ ?",series_and_sequence
70,"What is the rule for this pattern? 1st term:32, 2nd term:36, 3rd term:40",series_and_sequence
71,Which of the following patterns show infinite sequence?,series_and_sequence
72,"Madison has the number pattern  $\left\{5,3,8,6,11\right\}$  for a  homework problem. She says that the number pattern adds 5 to the first number and then subtracts 2 to get the next number. Did Madison correctly describe the pattern?",series_and_sequence
73,Which of the following shows a pattern?,series_and_sequence
74,Which of the following defines infinite sequence?,series_and_sequence
75,"What are the next three terms of the sequence 1,11,22,34, ?",series_and_sequence
76,What is the 25th term of the sequence  $a_n = \frac{(-1)^n}{n^2}$ ?,series_and_sequence
77,"What is the 11th term in the sequence −1,4,−9,16,−25,..?",series_and_sequence
78,Find the first four terms of the sequence  $a_n = 3n+2$ .,series_and_sequence
79,"Which numerical pattern follows the rule “subtract 2, then multiply by 3”,when starting with 5?",series_and_sequence
80,"What rule will correctly describe the sequence: 2,6,12,20,30,\dots",series_and_sequence
81,"Find the nth term of the sequence  $-\frac{1}{2}$ $\frac{1}{4}$ $-\frac{1}{6}$ $\frac{1}{8}$ $-\frac{1}{10}$ ,",series_and_sequence
82,"Which is the next ordered pair in the pattern  (2,1) , (4,4) , (6,9) ",series_and_sequence
83,"What is the 8th term in the sequence 9,4,-1,-6,-11,?",series_and_sequence
84,"In the sequence,  $a_n = \frac{(-1)^{n+1}(n-1)(n+2)}{n}$ , what is  $a_{10}$ ?",series_and_sequence
85,Which of the following patterns shows finite sequence?,series_and_sequence
86,"Find the general term of the sequence 3,9,27,81,…",series_and_sequence
87,Write the first four terms of the sequence  $a_n = n^2-1$ ,series_and_sequence
88,What are the first four terms of sequence  $a_n = n$ ?,series_and_sequence
89,What are the first four terms of sequence  $a_n = \frac{n}{n+1}$ ?,series_and_sequence
90,What are the first four terms of sequence  $a_n = (-1)^{n+1}n^2$ ?,series_and_sequence
